 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [robot-6] [INFO] [1698537934.686676683] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698537934.700486867] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698537934.700598868] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537934.711983020] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698537934.712428026] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698537934.716417079] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698537934.719686122] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698537934.732009286] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537934.735660335] [arm]: Action result: False
trials-all-1  | [coordinator-2] [INFO] [1698537934.743908445] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [robot-6] [INFO] [1698537934.754896591] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698537934.759947658] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698537934.759451652] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537934.766338743] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537934.777392890] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537934.781602946] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698537934.782276955] [environment]: Receiving message: a_navto,robot1,Room3
trials-all-1  | [environment-3] [INFO] [1698537934.788406037] [environment]: Action: a_navto
trials-all-1  | [arm-1] [INFO] [1698537934.792750095] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698537934.806572279] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698537934.809482318] [environment]: Responding
trials-all-1  | [arm-1] [INFO] [1698537934.821283475] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698537934.825240527] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698537934.825020524] [robot]: door closed
trials-all-1  | [coordinator-2] [INFO] [1698537934.838282701] [coordinator]: Receiving sync message: error,door_closed,Room3
trials-all-1  | [coordinator-2] [INFO] [1698537934.842530757] [coordinator]: door_closed
trials-all-1  | [robot-6] [INFO] [1698537934.838965710] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698537934.842849762] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698537934.857663959] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698537934.860902002] [arm]: not ready
