 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698530276.736944096] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530276.743457126] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530276.743672127] [robot]: Receiving sync message. a_authenticate_nurse,robot1,nurse1
trials-all-1  | [environment-3] [INFO] [1698530276.752818170] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698530276.759389201] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530276.763418220] [robot]: Authenticate nurse
trials-all-1  | [nurse-4] [INFO] [1698530276.772475262] [nurse]: success
trials-all-1  | [environment-3] [INFO] [1698530276.773228265] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698530276.778086288] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698530276.778554290] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698530276.791016349] [robot]: Doing a_authenticate_nurse
trials-all-1  | [nurse-4] [INFO] [1698530276.797571379] [nurse]: Action: a_deposit
trials-all-1  | [environment-3] [INFO] [1698530276.798404383] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698530276.803514407] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698530276.811051442] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698530276.814139457] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698530276.824935507] [coordinator]: Receiving sync message: action_complete,a_authenticate_nurse
trials-all-1  | [robot-6] [INFO] [1698530276.827780520] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698530276.832808544] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698530276.839226574] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530276.841642585] [coordinator]: plans_actions_current 3 of 11
trials-all-1  | [arm-1] [INFO] [1698530276.847924614] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698530276.851769632] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698530276.857039657] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530276.851505631] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [robot-6] [INFO] [1698530276.856595655] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698530276.859573669] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698530276.864980694] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698530276.864908694] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698530276.874238737] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698530276.881297770] [nurse]: Action result: False
trials-all-1  | [nurse-4] [INFO] [1698530276.889487809] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530276.889758810] [robot]: Action: a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698530276.889866810] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698530276.895113835] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698530276.900732861] [robot]: Doing a_open_drawer
trials-all-1  | [nurse-4] [INFO] [1698530276.906557888] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698530276.914030923] [robot]: success
trials-all-1  | [environment-3] [INFO] [1698530276.918314943] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698530276.919072947] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698530276.922561963] [robot]: Action result: True
trials-all-1  | [environment-3] [INFO] [1698530276.923927970] [environment]: Action: monitor
trials-all-1  | [coordinator-2] [INFO] [1698530276.933098012] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [robot-6] [INFO] [1698530276.933249013] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530276.941634052] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698530276.945286069] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698530276.946238074] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698530276.950622094] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530276.958059129] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698530276.960623141] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530276.962543150] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698530276.965370163] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698530276.970449187] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698530276.978154223] [robot]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698530276.981143237] [nurse]: not ready
trials-all-1  | [arm-1] [INFO] [1698530276.985544257] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698530276.988731272] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698530276.991458285] [nurse]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698530276.994110298] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698530276.998178317] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698530277.004091344] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698530277.008592365] [nurse]: Doing a_deposit
trials-all-1  | [environment-3] [INFO] [1698530277.009661370] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698530277.012304382] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698530277.017148404] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698530277.022847430] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698530277.035466489] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698530277.036142492] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698530277.036904495] [robot]: Receiving sync message. a_deposit,nurse1,robot1
