 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698529656.543047124] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529656.549838221] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529656.554274285] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529656.564786435] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529656.568644490] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529656.574486574] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529656.578275628] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529656.585585732] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [coordinator-2] [INFO] [1698529656.584921723] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [robot-6] [INFO] [1698529656.590962809] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698529656.600151940] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698529656.604670005] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698529656.614044139] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698529656.618407201] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698529656.623677277] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698529656.627695334] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698529656.629272357] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529656.633007410] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529656.641396530] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529656.645959595] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529656.651937681] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [arm-1] [INFO] [1698529656.655581733] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529656.655783736] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698529656.660033796] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698529656.665260871] [arm]: Action: a_pick_up_sample
trials-all-1  | [arm-1] [INFO] [1698529656.669039925] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698529656.675044011] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698529656.679062069] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698529656.690240228] [coordinator]: plans_actions_current 6 of 11
trials-all-1  | [arm-1] [INFO] [1698529656.697461332] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698529656.705795451] [robot]: Action: a_navto
trials-all-1  | [robot-6] [INFO] [1698529656.711352530] [robot]: Doing a_navto
trials-all-1  | [arm-1] [INFO] [1698529656.716447603] [arm]: Action result: False
