 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [nurse-4] [INFO] [1698527263.787818511] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527263.792890991] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [nurse-4] [INFO] [1698527263.795166207] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698527263.800772737] [nurse]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698527263.804639103] [robot]: Doing a_open_drawer
trials-all-1  | [environment-3] [INFO] [1698527263.806628292] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698527263.808967513] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698527263.818230390] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698527263.825810108] [arm]: not ready
trials-all-1  | [robot-6] [INFO] [1698527263.832949783] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698527263.838698328] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527263.843600792] [robot]: success
trials-all-1  | [arm-1] [INFO] [1698527263.847226135] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527263.847477159] [robot]: not ready
trials-all-1  | [environment-3] [INFO] [1698527263.854269802] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698527263.858902240] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698527263.861006439] [nurse]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527263.865240840] [nurse]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698527263.861243462] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527263.877502001] [robot]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698527263.884526666] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527263.888446037] [robot]: not ready
trials-all-1  | [nurse-4] [INFO] [1698527263.877617012] [nurse]: Action: a_deposit
trials-all-1  | [nurse-4] [INFO] [1698527263.882868509] [nurse]: Doing a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698527263.885294739] [coordinator]: Receiving sync message: action_complete,a_open_drawer
trials-all-1  | [coordinator-2] [INFO] [1698527263.889754161] [coordinator]: action_complete
trials-all-1  | [coordinator-2] [INFO] [1698527263.900380167] [coordinator]: plans_actions_current 4 of 11
trials-all-1  | [arm-1] [INFO] [1698527263.900426171] [arm]: not ready
trials-all-1  | [environment-3] [INFO] [1698527263.903074422] [environment]: Receiving message: monitor
trials-all-1  | [arm-1] [INFO] [1698527263.914585511] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698527263.926341624] [environment]: Action: monitor
trials-all-1  | [robot-6] [INFO] [1698527263.930931059] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698527263.939530873] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527263.945382427] [robot]: not ready
trials-all-1  | [arm-1] [INFO] [1698527263.946731555] [arm]: Doing a_pick_up_sample
trials-all-1  | [environment-3] [INFO] [1698527263.948063681] [environment]: Receiving message: monitor
trials-all-1  | [nurse-4] [INFO] [1698527263.955524387] [nurse]: not ready
trials-all-1  | [robot-6] [INFO] [1698527263.962631060] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [environment-3] [INFO] [1698527263.965809361] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698527263.970411796] [nurse]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527263.975711298] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698527263.983783062] [robot]: Doing a_deposit
trials-all-1  | [nurse-4] [INFO] [1698527263.985736247] [nurse]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698527263.991176762] [robot]: not ready
trials-all-1  | [robot-6] [INFO] [1698527264.009094454] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [environment-3] [INFO] [1698527263.992822918] [environment]: Receiving message: monitor
trials-all-1  | [environment-3] [INFO] [1698527263.997845393] [environment]: Action: monitor
trials-all-1  | [nurse-4] [INFO] [1698527263.993748005] [nurse]: Doing a_deposit
trials-all-1  | [arm-1] [INFO] [1698527264.002763859] [arm]: not ready
trials-all-1  | [arm-1] [INFO] [1698527264.007924345] [arm]: Action result: False
trials-all-1  | [environment-3] [INFO] [1698527264.011779707] [environment]: Receiving message: monitor
trials-all-1  | [robot-6] [INFO] [1698527264.021551624] [robot]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698527264.023910846] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527264.028574284] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [environment-3] [INFO] [1698527264.032073612] [environment]: Action: monitor
trials-all-1  | [arm-1] [INFO] [1698527264.032463649] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527264.043882721] [robot]: Action: a_deposit
trials-all-1  | [robot-6] [INFO] [1698527264.047061020] [robot]: Deposit
trials-all-1  | [nurse-4] [INFO] [1698527264.055060771] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698527264.059118152] [nurse]: Action result: True
