 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [coordinator-2] [INFO] [1698528276.660609328] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698528276.669214540] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698528276.679832800] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698528276.687917999] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698528276.691854096] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698528276.690597065] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698528276.694434159] [robot]: Doing a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698528276.703474381] [robot]: success
trials-all-1  | [robot-6] [INFO] [1698528276.707370476] [robot]: Action result: True
trials-all-1  | [arm-1] [INFO] [1698528276.716770707] [arm]: Doing a_pick_up_sample
trials-all-1  | [coordinator-2] [INFO] [1698528276.724143888] [coordinator]: Receiving sync message: action_complete,a_close_drawer
trials-all-1  | [coordinator-2] [INFO] [1698528276.728356992] [coordinator]: action_complete
trials-all-1  | [robot-6] [INFO] [1698528276.724184889] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698528276.728908005] [robot]: not ready
