 Network trials_ros  Creating
 Network trials_ros  Created
 Container trials-all-1  Creating
 Container trials-all-1  Created
Attaching to trials-all-1
trials-all-1  | [arm-1] [INFO] [1698527996.936307275] [arm]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527996.942550240] [robot]: wating for nurse1 to deposit in robot1
trials-all-1  | [robot-6] [INFO] [1698527996.947013215] [robot]: Action result: False
trials-all-1  | [robot-6] [INFO] [1698527996.951826188] [robot]: Action: a_deposit
trials-all-1  | [arm-1] [INFO] [1698527996.958084153] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527996.967515100] [robot]: Receiving sync message. a_deposit,nurse1,robot1
trials-all-1  | [arm-1] [INFO] [1698527996.972934070] [arm]: Doing a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527996.974650060] [robot]: Deposit
trials-all-1  | [robot-6] [INFO] [1698527996.981751020] [robot]: Doing a_deposit
trials-all-1  | [robot-6] [INFO] [1698527996.985855997] [robot]: Action result: True
trials-all-1  | [nurse-4] [INFO] [1698527996.984151007] [nurse]: success
trials-all-1  | [nurse-4] [INFO] [1698527996.987793986] [nurse]: Action result: True
trials-all-1  | [robot-6] [INFO] [1698527996.997863930] [robot]: Receiving sync message. a_pick_up_sample,arm1,robot1
trials-all-1  | [robot-6] [INFO] [1698527997.013423841] [robot]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698527997.013759839] [coordinator]: Receiving sync message: action_complete,a_deposit
trials-all-1  | [coordinator-2] [INFO] [1698527997.018152814] [coordinator]: action_complete
trials-all-1  | [arm-1] [INFO] [1698527997.043596667] [arm]: not ready
trials-all-1  | [coordinator-2] [INFO] [1698527997.052386616] [coordinator]: plans_actions_current 5 of 11
trials-all-1  | [arm-1] [INFO] [1698527997.057838585] [arm]: Action result: False
trials-all-1  | [arm-1] [INFO] [1698527997.062153560] [arm]: Action: a_pick_up_sample
trials-all-1  | [robot-6] [INFO] [1698527997.062662557] [robot]: Action: a_close_drawer
trials-all-1  | [robot-6] [INFO] [1698527997.066561534] [robot]: Doing a_close_drawer
